"HRCOUNTER_CONFIG_MENU_REPLAY_SELF_HR_HINT",,"Allow heart rate recorded in your own replays to be shown",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_REPLAY_OTHERS_HR_LABEL",,"Show Others' Recorded HR",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_REPLAY_OTHERS_HR_HINT",,"Allow heart rate recorded in other players' replays to be shown",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_REPLAY_FALLBACK_LIVE_LABEL",,"Fallback to Live Heart Rate",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_CONFIG_MENU_REPLAY_FALLBACK_LIVE_HINT",,"Show your live heart rate when recorded data is not available or not used",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PANEL_TITLE",,"Data Source",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_TAB_GENERAL",,"General",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_TAB_PULSOID",,"Pulsoid",,,,,,,,,,,,,,,,,,,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_TAB_HYPERATE",,"HypeRate",,,,,,,,,,,,,,,,,,,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_STREAMER_MODE_LABEL",,"Streamer Mode",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_STREAMER_MODE_HINT",,"Hide tokens and ids",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_SOURCE_DROPDOWN_LABEL",,"Data Source",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_SOURCE_INFO_HEADER",,"Data Source Info ↓",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_AUTHORIZE_BUTTON",,"Authorize Pulsoid",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_DEAUTHORIZE_BUTTON",,"Deauthorize Pulsoid",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_AUTHORIZE_MODAL_TITLE",,"Authorize with Pulsoid",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_AUTHORIZE_MODAL_ACTION",,"Authorize",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_DEAUTHORIZE_MODAL_TITLE",,"Deauthorize Pulsoid",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
